Country,LAT,LONG,ALT_NAME,FULL_NAME,2000 Female,2000 Male,2010 Female,2010 Male,2012 Female,2012 Male,2013 Female,2013 Male,2015 Female,2015 Male
Afghanistan,33,66,Afghanistan,Islamic Republic of Afghanistan,132.7,141.1,101.4,108.4,95.2,101.5,93.8,100.6,87.4,94.6
Albania,41,20,Albania,Republic of Albania,23.4,28.8,14.8,18.3,15.2,18.3,13.3,16.4,12.5,15.3
Algeria,28,3,Algeria,People's Democratic Republic of Algeria,36.7,42.5,25.8,28.8,17.8,22.2,23.9,26.4,24,26.8
Andorra,42.5,1.5,Andorra,Principality of Andorra,4.2,5,3,3.6,2.9,3.5,2.7,3.3,2.6,3.1
Angola,-12.5,18.5,Angola,Republic of Angola,206.2,226.7,173.2,190.9,155.6,171.2,159.3,175.5,148.9,164.6
Antigua and Barbuda,17.05,-61.8,Antigua and Barbuda,Antigua and Barbuda,13.7,17.1,8.9,10.9,8.8,10.9,8.3,10.2,7.3,8.8
Argentina,-34,-64,Argentina,Argentine Republic,18,22.3,13.1,16,12.7,15.7,12,14.6,11.3,13.7
Armenia,40,45,Armenia,Republic of Armenia,26.8,33.3,16,20,14.5,18.2,13.8,17.3,12.5,15.6
Australia,-25,135,Australia,Commonwealth of Australia,5.6,6.9,4.3,5.3,4.3,5.4,3.5,4.4,3.4,4.1
Austria,47.333333,13.333333,Austria,Republic of Austria,4.9,6.1,3.9,4.8,3.6,4.4,3.4,4.2,3.2,3.9
Azerbaijan,40.5,47.5,Azerbaijan,Republic of Azerbaijan,68.3,79.5,35.9,42,32.2,38,31.3,36.8,29,34.2
Bahamas,24,-76,Bahamas,Commonwealth of The Bahamas,14.5,16.8,12.8,14.8,15.5,18.1,12,13.8,11.2,12.9
Bahrain,26,50.5,Bahrain,Kingdom of Bahrain,12.1,13.1,8,8.6,9.2,9.9,5.9,6.3,5.9,6.4
Bangladesh,24,90,Bangladesh,People's Republic of Bangladesh,84.9,91,46.4,52.5,37.9,43.7,38.2,43.9,34.7,40.4
Barbados,13.166667,-59.533333,Barbados,Barbados,14.9,17.6,13.4,16,16.7,19.9,13.1,15.7,11.8,14.1
Belarus,53,28,Belarus,Republic of Belarus,12.2,16.4,5.2,6.9,4.5,5.9,4.3,5.5,3.9,5.1
Belgium,50.833333,4,Belgium,Kingdom of Belgium,5.1,6.5,4,5,3.7,4.6,3.9,4.9,3.7,4.6
Belize,17.25,-88.75,Belize,Belize,22.2,27.6,17.1,20.9,16.3,20.2,14.8,18.4,14.8,18.2
Benin,9.5,2.25,Benin,Republic of Benin,139.3,149.9,106.6,116.2,85.1,93.4,81.2,89.3,94.6,104
Bhutan,27.5,90.5,Bhutan,Kingdom of Bhutan,74.5,84.4,38.3,46.1,40.4,48.6,32.6,39.6,29.5,36.2
Bolivia,-17,-65,Bolivia,Plurinational State of Bolivia,75.2,85.1,42.8,50.9,37.5,45.2,35.3,42.7,34.7,41.9
Bosnia and Herzegovina,44.25,17.833333,Bosnia and Herzegovina,Bosnia and Herzegovina,8.1,10.2,6.5,8.2,5.9,7.3,5.9,7.3,4.8,5.9
Botswana,-22,24,Botswana,Republic of Botswana,78.6,86.8,49.6,57.3,48.7,57.5,42.7,50.4,39.8,47.2
Brazil,-10,-55,Brazil,Federative Republic of Brazil,28.6,35.1,15,18.1,12.6,16.1,12.1,15.3,14.9,17.7
Brunei,4.5,114.666667,Brunei Darussalam,Negara Brunei Darussalam,8.6,10.2,8.4,10,7.2,8.7,9,10.7,9.3,11.1
Bulgaria,43,25,Bulgaria,Republic of Bulgaria,18.6,23.3,11.6,14.4,10.8,13.3,10.3,12.8,9.3,11.5
Burkina Faso,13,-2,Burkina Faso,Burkina Faso,178.7,192.4,108,118.7,97.1,107.5,92.4,102.7,83.4,93.7
Burundi,-3.5,30,Burundi,Republic of Burundi,142.8,160.9,92,105.4,97.5,110.8,76.7,88.7,75.6,87.5
Cote d'Ivoire,8,-5,Cote d'Ivoire,Republic of Cote d'Ivoire,133.6,156.9,99,118.8,99.1,115.6,90.7,109.2,83.7,100.9
Cabo Verde,16,-24,Cape Verde,Republic of Cape Verde,32.2,38.6,25,30.4,19.6,24.5,23.3,28.5,21.9,26.9
Cambodia,13,105,Cambodia,Kingdom of Cambodia,100.4,115.9,38.3,47.7,35,44.2,33.5,42.2,25.2,32
Cameroon,6,12,Cameroon,Republic of Cameroon,141.8,158.6,98.1,111.3,88.6,100.8,88.2,100.5,81.7,93.5
Canada,60,-96,Canada,Canada,5.6,6.8,5.1,6,4.8,5.7,4.7,5.6,4.5,5.3
Central African Republic,7,21,Central African Republic,Central African Republic,167,182.2,142.9,157.3,122,134.9,132,145.5,123.2,136.6
Chad,15,19,Chad,Republic of Chad,181.4,198.5,152.3,167.5,142.4,157,140,154.6,131.4,145.6
Chile,-30,-71,Chile,Republic of Chile,9.8,11.9,8,9.6,8.2,9.9,7.4,8.9,7.4,8.7
China,35,105,China,People's Republic of China,34.8,38.9,14.6,16.7,13.1,15,11.8,13.5,10,11.3
Colombia,4,-72,Colombia,Republic of Colombia,22,28,16.3,20.6,15.5,19.6,14.9,18.8,14,17.6
Comoros,-12.166667,44.25,Comoros,Union of the Comoros,94.3,107.4,79.8,91.8,71.9,83.1,72.1,83.3,67.8,79
Congo,-1,15,Congo,Republic of the Congo,114.8,128.1,55.7,65.2,90.5,101.4,44.8,53.2,40.7,49
Cook Islands,-16.083333,-161.583333,Cook Islands,Cook Islands,14.9,18.6,8.8,10.8,9.4,11.6,7.8,9.6,7.3,8.9
Costa Rica,10,-84,Costa Rica,Republic of Costa Rica,11.6,14.4,9.1,11.2,8.9,10.8,8.6,10.6,8.7,10.6
Croatia,45.166667,15.5,Croatia,Republic of Croatia,7.5,9.2,4.9,5.8,4.2,5,4.1,4.9,3.9,4.7
Cuba,22,-79.5,Cuba,Republic of Cuba,7.4,9.4,5.4,6.7,4.9,6.1,5.5,6.8,4.9,6
Cyprus,35,33,Cyprus,Republic of Cyprus,6,7.1,3.3,3.9,2.9,3.5,3.3,3.9,2.5,3
Czech Republic,49.75,15,Czech Republic,Czech Republic,5.8,7.3,3.6,4.6,3.3,4.2,3.2,4,3,3.8
North Korea,40,127,North Korea,Democratic People's Republic of Korea,55.2,64.5,28,34.4,25.6,31.8,24.4,30.1,22.2,27.5
Democratic Republic of the Congo,0,25,Democratic Republic of the Congo,Democratic Republic of the Congo,151.5,170,108.3,123.5,137,153.9,110.5,126,91.3,104.9
Denmark,56,10,Denmark,Kingdom of Denmark,5,6.1,3.7,4.4,3.3,4,3.2,3.9,3.2,3.9
Djibouti,11.5,42.5,Djibouti,Republic of Djibouti,92.7,108.4,69.4,82.5,75.2,86.3,63.3,75.7,59.3,71.1
Dominica,15.5,-61.333333,Dominica,Commonwealth of Dominica,14.2,16.4,17.3,20.1,11.5,13.6,10.4,12.3,19.6,22.8
Dominican Republic,19,-70.666667,Dominican Republic,Dominican Republic,37.4,44.9,30.5,36.9,24.3,29.8,25.3,30.9,27.7,33.8
Ecuador,-2,-77.5,Ecuador,Republic of Ecuador,30.4,38.3,22.2,28.1,20.4,26.1,19.7,25,19,24
Egypt,27,30,Egypt,Arab Republic of Egypt,44.8,48.1,27.4,30.6,19.9,22,20.7,22.9,22.5,25.4
El Salvador,13.833333,-88.916667,El Salvador,Republic of El Salvador,28.9,35.7,17.8,22.2,14,17.6,13.9,17.4,14.9,18.6
Equatorial Guinea,2,10,Equatorial Guinea,Republic of Equatorial Guinea,143.3,160.6,103.6,117.6,94.2,105.9,90.1,101.5,87.6,100.5
Eritrea,15,39,Eritrea,State of Eritrea,81.5,96.4,49.9,61,46.5,57,44.6,54.8,41.4,51.3
Estonia,59,26,Estonia,Republic of Estonia,9.7,12.3,4.1,5.1,3.2,4,3,3.8,2.6,3.2
Ethiopia,8,38,Ethiopia,Federal Democratic Republic of Ethiopia,135.2,154.5,69.3,81.8,62,74.2,58.5,70.1,53.6,64.5
Fiji,-18,178,Fiji,Republic of Fiji,22.3,26.7,21.7,26,19.8,24.9,21,26.1,20.3,24.3
Finland,64,26,Finland,Republic of Finland,3.8,4.7,2.7,3.3,2.6,2.3,3.2,2.8,2.1,2.6
France,46,2,France,French Republic,4.7,6,3.8,4.7,3.6,4.5,3.7,4.6,3.9,4.8
Gabon,-1,11.75,Gabon,Gabonese Republic,78.7,91.7,57.8,68.5,56.6,67.1,51,61,45.8,55.3
Gambia,13.5,-15.5,Gambia,Republic of The Gambia,112.7,124.6,76.1,86.4,67.9,77.9,68.7,78.5,64.1,74.1
