Country,LAT,LONG,ALT_NAME,FULL_NAME,2000_Female,2010_Female,2012_Female,2013_Female,2015_Female
Afghanistan,33,66,Afghanistan,Islamic Republic of Afghanistan,132.7,101.4,95.2,93.8,87.4
Albania,41,20,Albania,Republic of Albania,23.4,14.8,15.2,13.3,12.5
Algeria,28,3,Algeria,People's Democratic Republic of Algeria,36.7,25.8,17.8,23.9,24
Andorra,42.5,1.5,Andorra,Principality of Andorra,4.2,3,2.9,2.7,2.6
Angola,-12.5,18.5,Angola,Republic of Angola,206.2,173.2,155.6,159.3,148.9
Antigua and Barbuda,17.05,-61.8,Antigua and Barbuda,Antigua and Barbuda,13.7,8.9,8.8,8.3,7.3
Argentina,-34,-64,Argentina,Argentine Republic,18,13.1,12.7,12,11.3
Armenia,40,45,Armenia,Republic of Armenia,26.8,16,14.5,13.8,12.5
Australia,-25,135,Australia,Commonwealth of Australia,5.6,4.3,4.3,3.5,3.4
Austria,47.333333,13.333333,Austria,Republic of Austria,4.9,3.9,3.6,3.4,3.2
Azerbaijan,40.5,47.5,Azerbaijan,Republic of Azerbaijan,68.3,35.9,32.2,31.3,29
Bahamas,24,-76,Bahamas,Commonwealth of The Bahamas,14.5,12.8,15.5,12,11.2
Bahrain,26,50.5,Bahrain,Kingdom of Bahrain,12.1,8,9.2,5.9,5.9
Bangladesh,24,90,Bangladesh,People's Republic of Bangladesh,84.9,46.4,37.9,38.2,34.7
Barbados,13.166667,-59.533333,Barbados,Barbados,14.9,13.4,16.7,13.1,11.8
Belarus,53,28,Belarus,Republic of Belarus,12.2,5.2,4.5,4.3,3.9
Belgium,50.833333,4,Belgium,Kingdom of Belgium,5.1,4,3.7,3.9,3.7
Belize,17.25,-88.75,Belize,Belize,22.2,17.1,16.3,14.8,14.8
Benin,9.5,2.25,Benin,Republic of Benin,139.3,106.6,85.1,81.2,94.6
Bhutan,27.5,90.5,Bhutan,Kingdom of Bhutan,74.5,38.3,40.4,32.6,29.5
Bolivia,-17,-65,Bolivia,Plurinational State of Bolivia,75.2,42.8,37.5,35.3,34.7
Bosnia and Herzegovina,44.25,17.833333,Bosnia and Herzegovina,Bosnia and Herzegovina,8.1,6.5,5.9,5.9,4.8
Botswana,-22,24,Botswana,Republic of Botswana,78.6,49.6,48.7,42.7,39.8
Brazil,-10,-55,Brazil,Federative Republic of Brazil,28.6,15,12.6,12.1,14.9
Brunei,4.5,114.666667,Brunei Darussalam,Negara Brunei Darussalam,8.6,8.4,7.2,9,9.3
Bulgaria,43,25,Bulgaria,Republic of Bulgaria,18.6,11.6,10.8,10.3,9.3
Burkina Faso,13,-2,Burkina Faso,Burkina Faso,178.7,108,97.1,92.4,83.4
Burundi,-3.5,30,Burundi,Republic of Burundi,142.8,92,97.5,76.7,75.6
Cote d'Ivoire,8,-5,Cote d'Ivoire,Republic of Cote d'Ivoire,133.6,99,99.1,90.7,83.7
Cabo Verde,16,-24,Cape Verde,Republic of Cape Verde,32.2,25,19.6,23.3,21.9
Cambodia,13,105,Cambodia,Kingdom of Cambodia,100.4,38.3,35,33.5,25.2
Cameroon,6,12,Cameroon,Republic of Cameroon,141.8,98.1,88.6,88.2,81.7
Canada,60,-96,Canada,Canada,5.6,5.1,4.8,4.7,4.5
Central African Republic,7,21,Central African Republic,Central African Republic,167,142.9,122,132,123.2
Chad,15,19,Chad,Republic of Chad,181.4,152.3,142.4,140,131.4
Chile,-30,-71,Chile,Republic of Chile,9.8,8,8.2,7.4,7.4
China,35,105,China,People's Republic of China,34.8,14.6,13.1,11.8,10
Colombia,4,-72,Colombia,Republic of Colombia,22,16.3,15.5,14.9,14
Comoros,-12.166667,44.25,Comoros,Union of the Comoros,94.3,79.8,71.9,72.1,67.8
Congo,-1,15,Congo,Republic of the Congo,114.8,55.7,90.5,44.8,40.7
Cook Islands,-16.083333,-161.583333,Cook Islands,Cook Islands,14.9,8.8,9.4,7.8,7.3
Costa Rica,10,-84,Costa Rica,Republic of Costa Rica,11.6,9.1,8.9,8.6,8.7
Croatia,45.166667,15.5,Croatia,Republic of Croatia,7.5,4.9,4.2,4.1,3.9
Cuba,22,-79.5,Cuba,Republic of Cuba,7.4,5.4,4.9,5.5,4.9
Cyprus,35,33,Cyprus,Republic of Cyprus,6,3.3,2.9,3.3,2.5
Czech Republic,49.75,15,Czech Republic,Czech Republic,5.8,3.6,3.3,3.2,3
North Korea,40,127,North Korea,Democratic People's Republic of Korea,55.2,28,25.6,24.4,22.2
Democratic Republic of the Congo,0,25,Democratic Republic of the Congo,Democratic Republic of the Congo,151.5,108.3,137,110.5,91.3
Denmark,56,10,Denmark,Kingdom of Denmark,5,3.7,3.3,3.2,3.2
Djibouti,11.5,42.5,Djibouti,Republic of Djibouti,92.7,69.4,75.2,63.3,59.3
Dominica,15.5,-61.333333,Dominica,Commonwealth of Dominica,14.2,17.3,11.5,10.4,19.6
Dominican Republic,19,-70.666667,Dominican Republic,Dominican Republic,37.4,30.5,24.3,25.3,27.7
Ecuador,-2,-77.5,Ecuador,Republic of Ecuador,30.4,22.2,20.4,19.7,19
Egypt,27,30,Egypt,Arab Republic of Egypt,44.8,27.4,19.9,20.7,22.5
El Salvador,13.833333,-88.916667,El Salvador,Republic of El Salvador,28.9,17.8,14,13.9,14.9
Equatorial Guinea,2,10,Equatorial Guinea,Republic of Equatorial Guinea,143.3,103.6,94.2,90.1,87.6
Eritrea,15,39,Eritrea,State of Eritrea,81.5,49.9,46.5,44.6,41.4
Estonia,59,26,Estonia,Republic of Estonia,9.7,4.1,3.2,3,2.6
Ethiopia,8,38,Ethiopia,Federal Democratic Republic of Ethiopia,135.2,69.3,62,58.5,53.6
Fiji,-18,178,Fiji,Republic of Fiji,22.3,21.7,19.8,21,20.3
Finland,64,26,Finland,Republic of Finland,3.8,2.7,2.6,3.2,2.1
France,46,2,France,French Republic,4.7,3.8,3.6,3.7,3.9
Gabon,-1,11.75,Gabon,Gabonese Republic,78.7,57.8,56.6,51,45.8
Gambia,13.5,-15.5,Gambia,Republic of The Gambia,112.7,76.1,67.9,68.7,64.1
Georgia,41.999981,43.499905,Georgia,Georgia,31.2,14.5,17.3,11.4,10.5
Germany,51.5,10.5,Germany,Federal Republic of Germany,4.8,3.8,3.7,3.5,3.4
Ghana,8,-2,Ghana,Republic of Ghana,93.7,68.6,66.4,72.3,56.2
Greece,39,22,Greece,Hellenic Republic,7.1,4.4,4.4,4,4.3
Grenada,12.116667,-61.666667,Grenada,Grenada,14.7,12.2,12.4,10.8,10.9
Guatemala,15.5,-90.25,Guatemala,Republic of Guatemala,46.3,30.9,28.7,27.8,26
Guinea,11,-10,Guinea,Republic of Guinea,162.1,105.7,96.2,95.1,88.2
Guinea-Bissau,12,-15,Guinea-Bissau,Republic of Guinea-Bissau,163.9,106.4,119.3,114.2,84.6
Guyana,5,-59,Guyana,Co-operative Republic of Guyana,40.9,36.4,30.5,31.7,34.4
Haiti,19,-72.416667,Haiti,Republic of Haiti,97.5,137.7,69.4,66.7,63.1
Honduras,15,-86.5,Honduras,Republic of Honduras,33.5,21.7,20.1,19.7,18.1
Hungary,47,20,Hungary,Republic of Hungary,10.1,6,5.7,5.6,5.4
Iceland,65,-18,Iceland,Republic of Iceland,3.6,2.2,2.1,1.9,1.8
India,20,77,India,Republic of India,96.1,62.9,58.7,54.7,49.2
Indonesia,-5,120,Indonesia,Republic of Indonesia,47.4,29.3,27.2,25.6,23.9
Iran,32,53,Iran,Islamic Republic of Iran,33.6,18.4,16.7,15.9,14.9
Iraq,33,44,Iraq,Republic of Iraq,40.9,33.1,30.9,30.6,28.9
Ireland,53,-8,Ireland,Ireland,6.4,3.8,3.6,3.5,3.3
Israel,31.5,34.75,Israel,State of Israel,6.4,4.2,3.9,3.7,3.7
Italy,42.833333,12.833333,Italy,Italian Republic,5.1,3.7,3.5,3.3,3.2
Jamaica,18.25,-77.5,Jamaica,Jamaica,19.1,15.7,14.6,14.5,13.7
Japan,36,138,Japan,Japan,4.1,3,2.8,2.7,2.5
Jordan,31,36,Jordan,Hashemite Kingdom of Jordan,26.2,19.7,18,17.6,16.9
Kazakhstan,48,68,Kazakhstan,Republic of Kazakhstan,37.4,18.3,15.8,13.9,12
Kenya,1,38,Kenya,Republic of Kenya,101.9,57.5,68,65.7,45.2
Kiribati,-5,-170,Kiribati,Republic of Kiribati,64.7,57.4,54.9,53.4,50.9
Kuwait,29.5,47.75,Kuwait,State of Kuwait,11.6,9.9,10.1,8.8,7.9
Kyrgyzstan,41,75,Kyrgyzstan,Kyrgyz Republic,43.7,26.6,23.2,21.4,18.9
Laos,18,105,Laos,Lao People's Democratic Republic,108.9,72.9,66.4,65,60.6
Latvia,57,25,Latvia,Republic of Latvia,15.4,8.6,7.9,7.6,7.2
Lebanon,33.833333,35.833333,Lebanon,Republic of Lebanon,19.1,9.7,8.8,8.7,7.9
Lesotho,-29.5,28.25,Lesotho,Kingdom of Lesotho,108.5,93.2,92.4,90.6,83.1
Liberia,6.5,-9.5,Liberia,Republic of Liberia,172.5,83.6,69.2,65.6,64.8
Libya,25,17,Libya,Libya,25.2,14.8,13.7,13,12
Lithuania,56,24,Lithuania,Republic of Lithuania,10.5,6.1,4.9,4.4,4.7
Luxembourg,49.75,6.166667,Luxembourg,Grand Duchy of Luxembourg,4.4,2.2,2,1.9,1.7
Madagascar,-20,47,Madagascar,Republic of Madagascar,103.2,55.8,53.9,51.9,45.3
Malawi,-13.5,34,Malawi,Republic of Malawi,166.5,85.6,66.2,63.3,59.5
Malaysia,2.5,112.5,Malaysia,Malaysia,9,7.1,7.6,7.6,6.3
Maldives,3.2,73,Maldives,Republic of Maldives,40.1,11.6,9.3,8.8,7.7
Mali,17,-4,Mali,Republic of Mali,210.7,130.1,122,116.7,108.4
Malta,35.916667,14.433333,Malta,Republic of Malta,7.1,6.2,6.2,5.6,5.9
Marshall Islands,10,167,Marshall Islands,Republic of the Marshall Islands,37.1,34.7,33.2,33.2,31.9
Mauritania,20,-12,Mauritania,Islamic Republic of Mauritania,103.8,89.4,75.6,81.7,79.5
Mauritius,-20.3,57.583333,Mauritius,Republic of Mauritius,16.2,13.4,13.4,12.7,12
Mexico,23,-102,Mexico,United Mexican States,23.1,15.1,14.5,13.1,11.9
Micronesia,5,152,Federated States of Micronesia,Federated States of Micronesia,49.2,36.6,34.5,32.6,31
Monaco,43.733333,7.4,Monaco,Principality of Monaco,4.6,3.5,3.5,3.3,3.1
Mongolia,46,105,Mongolia,Mongolia,52.2,24.2,22,25.7,17.9
Montenegro,42.5,19.3,Montenegro,Montenegro,12.8,6.4,5.5,5,4.4
Morocco,32,-5,Morocco,Kingdom of Morocco,45.7,29.7,27.7,27.2,24.7
Mozambique,-18.25,35,Mozambique,Republic of Mozambique,164.6,97.5,84.9,82.5,73.9
Myanmar,22,98,Burma,Union of Burma,75.5,53.6,47,45.3,44.9
Namibia,-22,17,Namibia,Republic of Namibia,70.3,49.2,34.7,45.5,41.2
Nauru,-0.533333,166.916667,Nauru,Republic of Nauru,37,35.4,33.1,32.7,31.6
Nepal,28,84,Nepal,Federal Democratic Republic of Nepal,79.1,43.2,39,37.2,33.6
Netherlands,52.5,5.75,Netherlands,Kingdom of the Netherlands,5.5,4,3.7,3.6,3.4
New Zealand,-42,174,New Zealand,New Zealand,6.6,5.6,5.1,5.6,5.1
Nicaragua,13,-85,Nicaragua,Republic of Nicaragua,36.1,23.1,21.5,20.8,19.5
