Country,LAT,LONG,ALT_NAME,FULL_NAME,2000_Male,2010_Male,2012_Male,2013_Male,2015_Male
Afghanistan,33,66,Afghanistan,Islamic Republic of Afghanistan,141.1,108.4,101.5,100.6,94.6
Albania,41,20,Albania,Republic of Albania,28.8,18.3,18.3,16.4,15.3
Algeria,28,3,Algeria,People's Democratic Republic of Algeria,42.5,28.8,22.2,26.4,26.8
Andorra,42.5,1.5,Andorra,Principality of Andorra,5,3.6,3.5,3.3,3.1
Angola,-12.5,18.5,Angola,Republic of Angola,226.7,190.9,171.2,175.5,164.6
Antigua and Barbuda,17.05,-61.8,Antigua and Barbuda,Antigua and Barbuda,17.1,10.9,10.9,10.2,8.8
Argentina,-34,-64,Argentina,Argentine Republic,22.3,16,15.7,14.6,13.7
Armenia,40,45,Armenia,Republic of Armenia,33.3,20,18.2,17.3,15.6
Australia,-25,135,Australia,Commonwealth of Australia,6.9,5.3,5.4,4.4,4.1
Austria,47.333333,13.333333,Austria,Republic of Austria,6.1,4.8,4.4,4.2,3.9
Azerbaijan,40.5,47.5,Azerbaijan,Republic of Azerbaijan,79.5,42,38,36.8,34.2
Bahamas,24,-76,Bahamas,Commonwealth of The Bahamas,16.8,14.8,18.1,13.8,12.9
Bahrain,26,50.5,Bahrain,Kingdom of Bahrain,13.1,8.6,9.9,6.3,6.4
Bangladesh,24,90,Bangladesh,People's Republic of Bangladesh,91,52.5,43.7,43.9,40.4
Barbados,13.166667,-59.533333,Barbados,Barbados,17.6,16,19.9,15.7,14.1
Belarus,53,28,Belarus,Republic of Belarus,16.4,6.9,5.9,5.5,5.1
Belgium,50.833333,4,Belgium,Kingdom of Belgium,6.5,5,4.6,4.9,4.6
Belize,17.25,-88.75,Belize,Belize,27.6,20.9,20.2,18.4,18.2
Benin,9.5,2.25,Benin,Republic of Benin,149.9,116.2,93.4,89.3,104
Bhutan,27.5,90.5,Bhutan,Kingdom of Bhutan,84.4,46.1,48.6,39.6,36.2
Bolivia,-17,-65,Bolivia,Plurinational State of Bolivia,85.1,50.9,45.2,42.7,41.9
Bosnia and Herzegovina,44.25,17.833333,Bosnia and Herzegovina,Bosnia and Herzegovina,10.2,8.2,7.3,7.3,5.9
Botswana,-22,24,Botswana,Republic of Botswana,86.8,57.3,57.5,50.4,47.2
Brazil,-10,-55,Brazil,Federative Republic of Brazil,35.1,18.1,16.1,15.3,17.7
Brunei,4.5,114.666667,Brunei Darussalam,Negara Brunei Darussalam,10.2,10,8.7,10.7,11.1
Bulgaria,43,25,Bulgaria,Republic of Bulgaria,23.3,14.4,13.3,12.8,11.5
Burkina Faso,13,-2,Burkina Faso,Burkina Faso,192.4,118.7,107.5,102.7,93.7
Burundi,-3.5,30,Burundi,Republic of Burundi,160.9,105.4,110.8,88.7,87.5
Cote d'Ivoire,8,-5,Cote d'Ivoire,Republic of Cote d'Ivoire,156.9,118.8,115.6,109.2,100.9
Cabo Verde,16,-24,Cape Verde,Republic of Cape Verde,38.6,30.4,24.5,28.5,26.9
Cambodia,13,105,Cambodia,Kingdom of Cambodia,115.9,47.7,44.2,42.2,32
Cameroon,6,12,Cameroon,Republic of Cameroon,158.6,111.3,100.8,100.5,93.5
Canada,60,-96,Canada,Canada,6.8,6,5.7,5.6,5.3
Central African Republic,7,21,Central African Republic,Central African Republic,182.2,157.3,134.9,145.5,136.6
Chad,15,19,Chad,Republic of Chad,198.5,167.5,157,154.6,145.6
Chile,-30,-71,Chile,Republic of Chile,11.9,9.6,9.9,8.9,8.7
China,35,105,China,People's Republic of China,38.9,16.7,15,13.5,11.3
Colombia,4,-72,Colombia,Republic of Colombia,28,20.6,19.6,18.8,17.6
Comoros,-12.166667,44.25,Comoros,Union of the Comoros,107.4,91.8,83.1,83.3,79
Congo,-1,15,Congo,Republic of the Congo,128.1,65.2,101.4,53.2,49
Cook Islands,-16.083333,-161.583333,Cook Islands,Cook Islands,18.6,10.8,11.6,9.6,8.9
Costa Rica,10,-84,Costa Rica,Republic of Costa Rica,14.4,11.2,10.8,10.6,10.6
Croatia,45.166667,15.5,Croatia,Republic of Croatia,9.2,5.8,5,4.9,4.7
Cuba,22,-79.5,Cuba,Republic of Cuba,9.4,6.7,6.1,6.8,6
Cyprus,35,33,Cyprus,Republic of Cyprus,7.1,3.9,3.5,3.9,3
Czech Republic,49.75,15,Czech Republic,Czech Republic,7.3,4.6,4.2,4,3.8
North Korea,40,127,North Korea,Democratic People's Republic of Korea,64.5,34.4,31.8,30.1,27.5
Democratic Republic of the Congo,0,25,Democratic Republic of the Congo,Democratic Republic of the Congo,170,123.5,153.9,126,104.9
Denmark,56,10,Denmark,Kingdom of Denmark,6.1,4.4,4,3.9,3.9
Djibouti,11.5,42.5,Djibouti,Republic of Djibouti,108.4,82.5,86.3,75.7,71.1
Dominica,15.5,-61.333333,Dominica,Commonwealth of Dominica,16.4,20.1,13.6,12.3,22.8
Dominican Republic,19,-70.666667,Dominican Republic,Dominican Republic,44.9,36.9,29.8,30.9,33.8
Ecuador,-2,-77.5,Ecuador,Republic of Ecuador,38.3,28.1,26.1,25,24
Egypt,27,30,Egypt,Arab Republic of Egypt,48.1,30.6,22,22.9,25.4
El Salvador,13.833333,-88.916667,El Salvador,Republic of El Salvador,35.7,22.2,17.6,17.4,18.6
Equatorial Guinea,2,10,Equatorial Guinea,Republic of Equatorial Guinea,160.6,117.6,105.9,101.5,100.5
Eritrea,15,39,Eritrea,State of Eritrea,96.4,61,57,54.8,51.3
Estonia,59,26,Estonia,Republic of Estonia,12.3,5.1,4,3.8,3.2
Ethiopia,8,38,Ethiopia,Federal Democratic Republic of Ethiopia,154.5,81.8,74.2,70.1,64.5
Fiji,-18,178,Fiji,Republic of Fiji,26.7,26,24.9,26.1,24.3
Finland,64,26,Finland,Republic of Finland,4.7,3.3,2.3,2.8,2.6
France,46,2,France,French Republic,6,4.7,4.5,4.6,4.8
Gabon,-1,11.75,Gabon,Gabonese Republic,91.7,68.5,67.1,61,55.3
Gambia,13.5,-15.5,Gambia,Republic of The Gambia,124.6,86.4,77.9,78.5,74.1
Georgia,41.999981,43.499905,Georgia,Georgia,39.9,18.6,22.4,14.6,13.3
Germany,51.5,10.5,Germany,Federal Republic of Germany,5.9,4.6,4.5,4.2,4.1
Ghana,8,-2,Ghana,Republic of Ghana,107.3,80.4,77.3,84.1,66.7
Greece,39,22,Greece,Hellenic Republic,8.4,5,5.1,4.7,4.9
Grenada,12.116667,-61.666667,Grenada,Grenada,17.1,14.1,14.6,12.7,12.7
Guatemala,15.5,-90.25,Guatemala,Republic of Guatemala,54.7,37.8,35.2,34.2,32.1
Guinea,11,-10,Guinea,Republic of Guinea,177.9,117.7,105.9,106.1,99
Guinea-Bissau,12,-15,Guinea-Bissau,Republic of Guinea-Bissau,190.4,124.8,138.6,133,99.9
Guyana,5,-59,Guyana,Co-operative Republic of Guyana,52.2,46.5,39.8,41.1,44.2
Haiti,19,-72.416667,Haiti,Republic of Haiti,111.8,150,81.5,78.6,74.6
Honduras,15,-86.5,Honduras,Republic of Honduras,41.1,27,25.5,24.6,22.6
Hungary,47,20,Hungary,Republic of Hungary,12.2,7.1,6.7,6.5,6.4
Iceland,65,-18,Iceland,Republic of Iceland,4.4,2.6,2.5,2.3,2.2
India,20,77,India,Republic of India,86.6,57,54.1,50.8,46.3
Indonesia,-5,120,Indonesia,Republic of Indonesia,57,36.8,34.7,32.9,30.3
Iran,32,53,Iran,Islamic Republic of Iran,35.7,20,18.5,17.6,16.2
Iraq,33,44,Iraq,Republic of Iraq,48.3,39.8,37.7,37.2,34.9
Ireland,53,-8,Ireland,Ireland,7.8,4.6,4.3,4.2,3.9
Israel,31.5,34.75,Israel,State of Israel,7.4,4.9,4.5,4.3,4.3
Italy,42.833333,12.833333,Italy,Italian Republic,5.9,4.3,4.1,3.9,3.8
Jamaica,18.25,-77.5,Jamaica,Jamaica,24.8,20.3,18.9,18.7,17.6
Japan,36,138,Japan,Japan,4.8,3.4,3.2,3.1,2.9
Jordan,31,36,Jordan,Hashemite Kingdom of Jordan,29,21.9,20.1,19.7,18.9
Kazakhstan,48,68,Kazakhstan,Republic of Kazakhstan,49.5,24.8,21.5,18.7,16.1
Kenya,1,38,Kenya,Republic of Kenya,113.6,66.6,77.7,75.4,53.4
Kiribati,-5,-170,Kiribati,Republic of Kiribati,76.1,68.1,64.6,62.8,60.7
Kuwait,29.5,47.75,Kuwait,State of Kuwait,13.6,11.5,11.9,10.2,9.2
Kyrgyzstan,41,75,Kyrgyzstan,Kyrgyz Republic,53.4,33.2,29.7,26.9,23.7
Laos,18,105,Laos,Lao People's Democratic Republic,126.1,86.2,76.6,77.4,72.5
Latvia,57,25,Latvia,Republic of Latvia,18.8,10.2,9.4,9.1,8.6
Lebanon,33.833333,35.833333,Lebanon,Republic of Lebanon,20.9,10.6,9.7,9.6,8.6
Lesotho,-29.5,28.25,Lesotho,Kingdom of Lesotho,124.5,108.1,106.5,105.1,97.1
Liberia,6.5,-9.5,Liberia,Republic of Liberia,190.7,94.8,80.1,76.5,74.7
Libya,25,17,Libya,Libya,30.9,18.3,16.9,16,14.7
Lithuania,56,24,Lithuania,Republic of Lithuania,13,7.3,5.9,5.4,5.6
Luxembourg,49.75,6.166667,Luxembourg,Grand Duchy of Luxembourg,5.2,2.6,2.4,2.2,2
Madagascar,-20,47,Madagascar,Republic of Madagascar,114.9,64.7,62.3,60,53.6
Malawi,-13.5,34,Malawi,Republic of Malawi,181.9,95.9,75.6,72.4,68.3
Malaysia,2.5,112.5,Malaysia,Malaysia,11.3,8.8,9.3,9.3,7.7
Maldives,3.2,73,Maldives,Republic of Maldives,48.5,14.3,11.5,10.8,9.4
Mali,17,-4,Mali,Republic of Mali,228,142.8,133.7,128.5,120.4
Malta,35.916667,14.433333,Malta,Republic of Malta,8.4,7.3,7.3,6.6,6.9
Marshall Islands,10,167,Marshall Islands,Republic of the Marshall Islands,45.5,43.2,42.3,41.6,39.9
Mauritania,20,-12,Mauritania,Islamic Republic of Mauritania,122.8,106.2,91.9,98.1,95.8
Mauritius,-20.3,57.583333,Mauritius,Republic of Mauritius,20.8,16.9,16.8,15.9,15
Mexico,23,-102,Mexico,United Mexican States,28,18.4,17.7,15.8,14.4
